,location,city,latitude,longitude
414,Garden Town,Lahore,31.512228000000004,74.325078
417,DHA Defence,Lahore,31.494408,74.43766600000001
418,Eden,Lahore,31.375165000000003,74.25399200000001
423,Bahria Town,Lahore,31.375514000000003,74.172735
424,Shahdara,Lahore,31.626564,74.281826
430,Iqbal Park,Lahore,31.48601325613,74.380331200928
431,Bahria Town,Lahore,31.374451,74.183121
434,DHA Defence,Lahore,31.483283,74.395723
435,DHA Defence,Lahore,31.462493,74.452372
439,DHA Defence,Lahore,31.471132,74.445162
445,DHA Defence,Lahore,31.461761,74.36834
447,Cantt,Lahore,31.550818,74.39641
450,Bahria Town,Lahore,31.371391,74.170096
452,Sabzazar Scheme,Lahore,31.528143627407,74.26180064678199
453,Model Colony,Lahore,31.499216,74.349013
454,Askari,Lahore,31.547381,74.39389200000001
455,Iqbal Park,Lahore,31.593305,74.309363
456,Mustafa Town,Lahore,31.494993,74.27294
457,Gulberg,Lahore,31.497975991327,74.346145391464
458,Walton Road,Lahore,31.477098,74.357271
459,DHA Defence,Lahore,31.467838,74.39126
460,Samanabad,Lahore,31.534984,74.294887
461,Paragon City,Lahore,31.528941,74.454131
462,Eden,Lahore,31.513142,74.436994
465,New Super Town,Lahore,31.495945000000003,74.37718000000001
466,West Wood Housing Society,Lahore,31.465788,74.237881
470,DHA Defence,Lahore,31.456892,74.39211800000001
477,DHA Defence,Lahore,31.486504,74.40477800000001
478,Paragon City,Lahore,31.524191,74.45399499999999
482,DHA Defence,Lahore,31.478672,74.375424
483,Valencia Housing Society,Lahore,31.398118,74.254746
484,Palm Villas,Lahore,31.587028000000004,74.495264
485,Islampura,Lahore,31.567228382586,74.28805947303799
486,Bahria Town,Lahore,31.378774,74.19031600000001
487,Eden,Lahore,31.516215000000003,74.440309
488,Mansoorah,Lahore,31.492615,74.265647
489,Punjab Govt Employees Society,Lahore,31.443383,74.286325
491,Marghzar Officers Colony,Lahore,31.501973596972,74.247343540192
492,Wapda Town,Lahore,31.434522,74.266148
493,Johar Town,Lahore,31.46928106709,74.298274666071
494,Mughalpura,Lahore,31.563398,74.3891
496,Saggian,Lahore,31.596965,74.238197
497,Mustafa Town,Lahore,31.494994,74.27294300000001
498,Wapda Town,Lahore,31.440527000000003,74.271426
500,Allama Iqbal Town,Lahore,31.518337,74.29786
501,Shoukat Town,Lahore,31.458687,74.35933
502,Al Hamra Town,Lahore,31.448106,74.25705699999999
506,Pak Arab Housing Society,Lahore,31.432059489989,74.341950416565
509,Faisal Town,Lahore,31.478013,74.304285
510,Askari,Lahore,31.533849716187,74.409629821777
511,Badami Bagh,Lahore,31.603832,74.32248100000001
512,Gulistan Colony,Lahore,31.454073,74.35645600000001
514,Allama Iqbal Town,Lahore,31.517283000000003,74.282823
518,Lahore Motorway City,Lahore,31.644237,74.211656
519,OPF Housing Scheme,Lahore,31.423428136990005,74.24503248184901
521,Cavalry Ground,Lahore,31.503036547209,74.367225407768
523,Ferozepur Road,Lahore,31.502166,74.333439
525,Cantt,Lahore,31.473596,74.393917
526,Township,Lahore,31.439026,74.295001
527,Babu Sabu,Lahore,31.541236,74.269202
529,Al Kareem Garden,Lahore,31.589742,74.451851
530,Eden,Lahore,31.421284050946003,74.281285218894
531,Bahria Town,Lahore,31.372105974878,74.186983108521
532,Township,Lahore,31.456929,74.30593
534,Nawab Town,Lahore,31.452609,74.249039
536,Johar Town,Lahore,31.452243,74.274702
537,Punjab Small Industries Colony,Lahore,31.476512,74.418805
538,Shalimar Link Road,Lahore,31.572526,74.381002
539,Airport Road,Lahore,31.458956061694003,74.362351298332
540,Bahria Town,Lahore,31.375843,74.189715
541,Ichhra,Lahore,31.533262,74.316587
542,Kamahan Road,Lahore,31.454618,74.368249
