location,city,latitude,longitude
Sadiqa Abad,Rawalpindi,33.63238,73.080232
Samarzar Housing Society,Rawalpindi,33.527739000000004,73.044534
Sher Zaman Colony,Rawalpindi,33.601833343505994,73.07250213623
Khayaban-e-Quaid,Lahore,31.494064,74.245
Manawan,Lahore,31.590709000000004,74.47855
Bhagatpura,Lahore,31.599121612554,74.35315903276201
PCSIR Staff Colony,Lahore,31.431007,74.285574
P & D Housing Society,Lahore,31.423683,74.190931
Canal Burg,Lahore,31.475302000000003,74.244671
Azam Gardens,Lahore,31.487419,74.265132
Daroghewala,Lahore,31.590208,74.39635
Raj Garh,Lahore,31.55901,74.29830600000001
Tajpura,Lahore,31.557474,74.401431
Chohan Road,Lahore,31.565908,74.288956
Wassanpura,Lahore,31.589795,74.3365
Ghous Garden,Lahore,31.584607,74.48176600000001
Kacha Jail Road,Lahore,31.452423,74.34156999999999
Sanda,Lahore,31.559229,74.28832
Revenue Society,Lahore,31.447510974133,74.292651414871
Shera Kot,Lahore,31.540747,74.277511
New Shah Kamal Colony,Lahore,31.524878,74.31147
Birdwood Road,Lahore,31.546954,74.32336
Dogech,Lahore,31.548477,74.42206
Kacha Ferozepur Road,Lahore,31.542643,74.309937
Band Road,Lahore,31.537313,74.27892
Sultan Town,Lahore,31.460297,74.240441
New Chauburji Park,Lahore,31.550866390631,74.293963015079
Sheikhupura Road,Lahore,31.616523259584,74.26913380622901
Punjab Govt Servant Society,Lahore,31.404062,74.1632
Zaheer Villas,Lahore,31.416929,74.28738299999999
Bhogiwal Road,Lahore,31.585,74.36735999999999
Omega Homes,Lahore,31.612908594408,74.218472912908
Al Jalil Garden,Lahore,31.592658,74.215065
Gajju Matah,Lahore,31.391645210040004,74.363389983773
Naya Nazimabad,Karachi,24.969255,67.039855
Malir Link To Super Highway,Karachi,24.949734,67.182861
Abul Hassan Isphani Road,Karachi,24.941817,67.098056
Saddar Town,Karachi,24.860389,67.027795
Saadi Road,Karachi,24.94937,67.162125
University Road,Karachi,24.935829261012,67.137386798859
Manghopir Road,Karachi,25.008928459782,67.039368152618
E-18,Islamabad,33.63402089427,72.85747110843701
Golra Mor,Islamabad,33.625640000000004,72.96987
G-12,Islamabad,33.659496000000004,72.98101899999999
Shahpur,Islamabad,33.742738,73.214865
Spring Valley,Islamabad,33.727779551861,73.197789788246
Gulshan-e-Khudadad,Islamabad,33.626837,72.98273
PWD Road,Islamabad,33.569794,73.137016
Jhumra Road,Faisalabad,31.463324,73.131996
Amin Town,Faisalabad,31.442321000000003,73.128126
Ryaz ul Jannah,Faisalabad,31.477812,73.058962
Lalazar,Faisalabad,31.373468,73.129473
Suhail Abad,Faisalabad,31.404308,73.098986
D Type Colony,Faisalabad,31.380644,73.0805
Gulgasht Colony,Faisalabad,31.389349,73.104164
Ayub Colony,Rawalpindi,33.582626,73.10109
Chakra Road,Rawalpindi,33.589588,72.985815
Al-Haram City - Phase 2,Rawalpindi,33.500724269477,72.95842140913
Caltex Road,Rawalpindi,33.553583,73.068339
Amer Pura,Rawalpindi,33.623676429569,73.071009814739
Kartar Pura,Rawalpindi,33.622948,73.062325
Peer Meher Ali Shah Town,Rawalpindi,33.544952,72.997505
Safari View Residencia,Rawalpindi,33.57898,73.11293
Liaquat Colony,Rawalpindi,33.560965,73.018478
Army Officers Colony,Rawalpindi,33.538274,73.082598
Race Course,Rawalpindi,33.604415,73.035947
Kurri Road,Rawalpindi,33.634630831341,73.093535006046
Saidpur Road,Rawalpindi,33.644707000000004,73.06534
Kahuta,Rawalpindi,33.597749,73.38668299999999
Allama Iqbal Colony,Rawalpindi,33.588419,73.018459
KRL Road,Rawalpindi,33.616254337948,73.108488321304
Rizwan Garden Scheme,Lahore,31.584568,74.47377900000001
Peco Road,Lahore,31.465641,74.341121
Begampura,Lahore,31.580729,74.36182
Mohlanwal,Lahore,31.407449,74.140653
Shah Jamal,Lahore,31.525727000000003,74.32705899999999
Bahria Orchard,Lahore,31.317861,74.21814
Gul Kali,Lahore,31.564922,74.42827700000001
Eden Avenue Extension,Lahore,31.499481,74.418277
Rasool Park,Lahore,31.540874,74.310585
Habib Homes,Lahore,31.463074,74.321506
Lahore Canal Bank Cooperative Housing Society,Lahore,31.454132,74.22805600000001
Manga Mandi,Lahore,31.300536,74.070125
Khayaban-e-Amin,Lahore,31.376356,74.2637
Formanites Housing Scheme,Lahore,31.447703000000004,74.409313
New Muslim Town,Lahore,31.513708,74.315445
Sally Town South,Lahore,31.557084000000003,74.413786
Al-Kareem Premier Housing Scheme,Lahore,31.553473,74.40946600000001
Ittehad Colony,Lahore,31.527593,74.287705
Zaitoon - New Lahore City,Lahore,31.350233000000003,74.13699
Jaffar Town,Lahore,31.447703000000004,74.253495
Punjab Coop Housing Society,Lahore,31.458979,74.373566
Fazaia Housing Scheme,Lahore,31.367058499232,74.247515201569
Riwaz Garden,Lahore,31.559961,74.30317600000001
Anarkali,Lahore,31.57148,74.31013
Sodiwal,Lahore,31.534753,74.285189
Shiraz Villas,Lahore,31.493941,74.36320400000001
NFC 1,Lahore,31.418263,74.268087
Shah Faisal Road,Lahore,31.530828000000003,74.29431
Government Employees Cooperative Housing Society (GECHS),Lahore,31.465897482573,74.319205284119
